GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
East Side,23653,23042,-611,23784,8281,4822,4721,3854,1389,717,31.1043798,4040,18968,684,28,64,23774,17273,11267,9330,1912,6007,57,9107,6458,1185,1115,349,0,13800,9685,1699,1704,2124,1157,903,661,252,43421.05263,6802,4564,2238,935,7737,4804,226,1634,870,183,6.045333333,59,485,3915,3277,-9999,369,2373,3645,1019,331,3265,1214,69,10,119199.7852,7270,Manufacturing,Health Care,Education,Accommodation and Food Service,Retail Trade,1108,822,718,686,672,1417,Administration,Transportation,Retail Trade,Accommodation and Food Service,Construction,279,260,197,155,123,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3294,1235,358,311,199,Outside of Chicago,East Side,Hegewisch,South Chicago,South Deering,810,199,44,30,23,,,,,,,,,,,,,,,,18054,,,,,,,,,,8.81794326,1908.480789,465.4091111,0.24386366,80.89510598,0.042387173,11.95156023,0.006262342,58.42465405,0.030613174,99.84503438,0.0523165,112.3958631,0.058892845,739.7226814,0.387597657,n/a,n/a,209.7259625,0.109891576,130.1108161,0.068175072
Edgewater,62198,56521,-5677,54873,7999,16748,12209,10783,5179,1955,37.93443554,29912,8918,7853,6324,1866,51818,49223,34299,31487,2812,14924,1908,29202,10689,2028,13819,2171,495,42621,38951,23300,8078,6861,5059,3352,2803,2522,46173.66412,28675,10751,17924,3718,32393,1963,421,1922,2825,25234,4.304417122,1110,6273,11263,13747,-9999,17589,9853,3750,803,398,2429,4576,2265,1408,231771.1923,26025,Health Care,Professional,Education,Accommodation and Food Service,Retail Trade,3590,3105,2917,2743,2149,9299,Health Care,Accommodation and Food Service,Retail Trade,Professional,Other Service,3018,1591,1229,758,601,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8552,5384,3036,1482,950,Outside of Chicago,Edgewater,West Ridge,Rogers Park,Lincoln Square,3377,950,450,374,352,,,,,,,,,,,,,,,,7649,,,,,,,,,,1.480957838,1111.664635,148.2653715,0.133372392,355.0674219,0.319401563,24.59957346,0.022128592,77.29219217,0.069528336,61.80290234,0.055594916,6.56974237,0.005909824,348.5721282,0.313558709,n/a,n/a,81.26459945,0.073101722,8.23070339,0.007403945
Edison Park,11328,11187,-141,11208,2456,2187,2658,2197,1120,588,41.38609272,9787,1060,120,164,78,11203,9135,6243,5930,312,2893,192,5630,4103,350,806,272,99,8351,7915,3870,362,874,654,729,738,1083,86299.72565,4440,3510,928,409,4848,3263,106,151,243,1085,6.139841689,200,571,2892,1185,-9999,483,1464,1765,856,279,232,1246,1536,469,329606.7416,5978,Public Administration,Education,Health Care,Professional,Retail Trade,910,724,694,470,469,2421,Administration,Professional,Accommodation and Food Service,Health Care,Real Estate,807,380,225,190,128,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2945,1435,243,172,163,Outside of Chicago,Edison Park,Norwood Park,Portage Park,Jefferson Park,1301,121,86,73,57,,,,,,,,,,,,,,,,14890,,,,,,,,,,1.805183686,726.2698244,379.0417535,0.52190211,40.01631175,0.055098409,5.992233786,0.008250699,23.77620074,0.032737421,10.74289189,0.014791874,9.081289906,0.012504017,236.621007,0.325803164,n/a,n/a,20.23249875,0.027858102,0.765636974,0.001054205
Englewood,40222,30654,-9568,26121,8266,6184,3902,4593,2234,942,31.39224626,199,682,24810,76,354,25992,19540,9960,6371,3583,9580,332,5800,2788,360,2435,163,54,15575,11569,972,5320,2267,850,362,231,73,19853.7844,9103,2500,6603,5177,14280,3327,376,4988,2167,3374,5.706896552,600,2079,4206,7395,-9999,2520,4878,4734,1508,640,1841,584,57,15,96556.88623,7205,Health Care,Retail Trade,Administration,Accommodation and Food Service,Education,1506,894,873,689,588,1713,Health Care,Retail Trade,Education,Other Service,Accommodation and Food Service,942,294,165,81,46,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,2798,1042,485,463,106,Outside of Chicago,Englewood,Auburn Gresham,West Englewood,South Shore,625,100,80,48,48,,,,,,,,,,,,,,,,7668,,,,,,,,,,1.671025965,1966.306763,237.9332692,0.121005162,305.8259428,0.15553318,13.53014058,0.006880992,38.24085596,0.019448062,169.9385677,0.086425257,13.49783213,0.006864561,720.5653543,0.366456225,n/a,n/a,43.64886924,0.022198403,423.1259312,0.215188158
Forest Glen,18165,18508,343,18459,5030,2290,3842,4054,2164,1079,42.56931818,13258,2205,177,2475,344,18425,14063,9449,8875,574,4614,364,8336,6162,676,1220,191,87,12709,12016,7441,734,971,884,695,1426,1957,101558.6035,6665,5958,709,498,7165,5858,304,254,290,459,6.846906566,315,711,4567,1571,-9999,350,1483,3686,1262,383,312,927,2926,1765,409600.9036,8720,Health Care,Education,Public Administration,Professional,Retail Trade,1169,1091,922,827,707,4498,Health Care,Professional,Wholesale Trade,Retail Trade,Finance,1722,589,343,304,237,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3464,2207,542,387,239,Outside of Chicago,Forest Glen,West Ridge,Portage Park,Norwood Park,2573,239,126,110,86,,,,,,,,,,,,,,,,17034,,,,,,,,,,25.53945057,2046.163795,822.3349002,0.401891042,33.14679539,0.016199483,6.030397212,0.002947172,47.55156325,0.023239373,42.83604649,0.020934808,10.39096141,0.005078265,605.4751519,0.29590747,n/a,n/a,471.4327181,0.230398328,6.965260763,0.003404058
Fuller Park,3420,2876,-544,2543,568,473,411,535,457,99,43.6575,70,181,2273,16,3,2534,2074,1042,718,324,1032,42,683,361,64,206,50,2,1775,1337,205,623,219,84,75,71,15,20092.59259,1086,385,706,436,1526,303,69,442,216,482,5.353246753,61,217,580,669,-9999,476,431,462,95,63,318,36,14,14,93888.88889,877,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,173,91,89,88,70,1425,Manufacturing,Wholesale Trade,Retail Trade,Health Care,Accommodation and Food Service,521,240,237,176,128,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,276,148,67,66,22,Outside of Chicago,Auburn Gresham,West Englewood,Chicago Lawn,Austin,629,42,36,36,34,,,,,,,,,,,,,,,,7070,,,,,,,,,,4.425357013,457.2246308,27.78755718,0.06077441,27.83046104,0.060868245,3.915838232,0.008564364,16.70779975,0.036541775,20.0906594,0.043940457,34.17512093,0.074744707,262.7924242,0.574755616,n/a,n/a,11.25368288,0.024613029,52.67108712,0.115197397
Gage Park,39193,39894,701,41202,14775,9635,9283,4848,2192,469,28.90824588,1460,38009,1342,350,41,41148,29261,19821,16664,3157,9440,292,15778,8613,3495,3064,584,22,23261,12910,1355,2865,3416,1844,933,554,130,38582.31707,9742,5415,4327,933,10675,5125,91,2562,2167,730,5.7003386,99,1148,4563,4865,-9999,1250,3735,3799,1143,748,3267,2015,105,17,126691.4191,10538,Manufacturing,Administration,Health Care,Accommodation and Food Service,Retail Trade,1773,1317,1112,1107,1078,4233,Administration,Wholesale Trade,Retail Trade,Accommodation and Food Service,Other Service,1185,1154,654,294,216,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,4643,1187,575,534,250,Outside of Chicago,Gage Park,Chicago Lawn,New City,Ashburn,1959,246,145,104,101,,,,,,,,,,,,,,,,16901,,,,,,,,,,0.621316793,1406.90761,408.1234035,0.290085433,155.7799188,0.110725052,18.57284357,0.013201182,63.74817877,0.045310849,96.28750946,0.068439113,135.3451927,0.096200484,482.2241373,0.342754659,n/a,n/a,25.59949451,0.018195576,21.22693112,0.015087651
Garfield Ridge,36101,34513,-1588,35570,9027,6779,7628,6879,3605,1652,38.62508411,16837,16581,1462,417,273,35325,28575,18312,16225,2087,10263,175,15500,11828,1451,1864,338,19,24333,19754,5150,2143,2858,2137,1545,2131,1202,60851.41903,12016,9730,2308,608,12646,10266,189,620,693,822,5.930542563,348,2029,9125,1144,-9999,804,2547,6693,1828,774,2132,6471,1004,101,199981.1605,15179,Public Administration,Manufacturing,Education,Health Care,Retail Trade,1722,1706,1609,1462,1374,11927,Transportation,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,5031,1219,1083,1025,722,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,6569,3437,723,720,604,Outside of Chicago,Garfield Ridge,Clearing,Austin,Ashburn,6984,604,227,178,169,,,,,,,,,,,,,,,,17432,,,,,,,,,,1.242262797,2706.399862,1032.127624,0.381365532,95.91036003,0.035438355,15.27734459,0.005644896,100.9106565,0.037285938,55.41493921,0.020475518,114.2368706,0.042209901,1206.513278,0.445800081,n/a,n/a,44.18728768,0.016326962,41.82150094,0.015452817
Grand Boulevard,28006,21929,-6077,22373,6243,4302,5129,3606,2293,800,36.85011772,719,574,20274,117,689,22085,17406,10355,8132,2223,7051,289,7623,4255,497,2493,295,83,14539,12218,3940,4385,1923,1327,779,683,600,30260.20408,9697,2476,7355,2379,12210,1083,700,668,3193,6546,5.107079958,2973,2549,2415,4273,-9999,3408,3351,3667,1310,474,771,1183,418,104,211333.3333,7696,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1473,1003,737,709,602,4128,Education,Health Care,Management,Retail Trade,Accommodation and Food Service,1594,1001,393,225,203,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1994,1825,681,588,231,Outside of Chicago,South Shore,Grand Boulevard,Roseland,Chatham,1465,136,134,130,127,,,,,,,,,,,,,,,,9140,,,,,,,,,,1.006069665,1113.23469,62.3469595,0.056005225,255.1584716,0.229204564,7.311707538,0.006567984,42.3507279,0.038042947,112.6449431,0.101187058,8.173339553,0.007341973,378.1351924,0.339672484,n/a,n/a,22.50879661,0.020219273,224.6045517,0.201758491
Greater Grand Crossing,38619,32602,-6017,32346,9327,6621,5992,6408,2619,1379,35.66899272,466,358,31077,4,441,31805,24933,14274,10714,3560,10659,429,9798,4976,775,3732,265,50,20423,17386,3150,5748,2770,1758,836,569,278,26515.05236,11959,3929,8030,3683,15642,4302,213,4441,2605,4050,5.613095238,309,1223,5289,8821,-9999,3156,5812,4638,1554,482,2326,1485,69,40,124572.3173,9094,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,2002,981,918,891,835,3407,Education,Health Care,Accommodation and Food Service,Retail Trade,Wholesale Trade,797,752,322,319,297,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2894,1760,702,646,229,Outside of Chicago,South Shore,Greater Grand Crossing,Chatham,Auburn Gresham,1195,150,148,133,119,,,,,,,,,,,,,,,,10175,,,,,,,,,,1.075388931,2269.356472,375.5309915,0.165479067,327.6659895,0.144387184,21.2105906,0.009346522,81.69968422,0.036001256,255.3135631,0.11250483,41.08107122,0.01810252,992.3470063,0.437281237,n/a,n/a,34.78453036,0.015327927,139.7230453,0.061569457
Hegewisch,9781,9426,-355,8985,2199,1910,1349,2218,1034,275,39.34549654,4087,4267,566,0,65,8969,7190,4406,4007,399,2783,3,3982,2903,332,639,108,0,6330,5533,1224,950,817,512,487,491,291,50337.83784,3547,2516,1031,378,3925,2507,18,770,259,164,5.772294372,246,694,1587,1399,-9999,416,1059,1747,541,162,1519,919,56,10,134204.2755,3617,Manufacturing,Public Administration,Education,Health Care,Retail Trade,433,395,391,382,308,2354,Manufacturing,Wholesale Trade,Retail Trade,Accommodation and Food Service,Finance,1118,464,261,122,91,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1646,828,136,124,104,Outside of Chicago,East Side,Hegewisch,South Deering,Auburn Gresham,1517,190,104,55,36,,,,,,,,,,,,,,,,15989,,,,,,,,,,64.52921467,3350.912518,374.4685393,0.111751213,34.06545333,0.010166023,6.81290548,0.002033149,48.01465851,0.014328831,17.41745767,0.005197825,301.3562005,0.089932578,1562.028084,0.466150064,n/a,n/a,579.7949938,0.173026001,426.9542249,0.127414316
Hermosa,26908,25010,-1898,25489,7913,6230,4987,4214,1675,470,31.40017875,1880,22491,379,355,384,25480,19020,13254,11975,1279,5766,319,11507,7096,1391,2142,654,224,15446,8927,1721,2017,2269,1255,756,580,222,39156.92008,7099,2883,4216,752,7851,2246,60,2486,2115,937,5.750772201,65,519,1964,5303,-9999,1109,3050,2557,741,394,559,1859,435,30,212533.4225,7919,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,1125,963,962,908,796,3564,Manufacturing,Retail Trade,Health Care,Construction,Wholesale Trade,2582,224,155,108,107,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3251,870,430,345,312,Outside of Chicago,Belmont Cragin,Hermosa,Logan Square,Austin,1645,248,192,118,105,,,,,,,,,,,,,,,,13257,,,,,,,,,,0.609156139,748.4402995,166.9863199,0.223112411,146.3300895,0.195513376,14.40879035,0.019251756,26.35219029,0.035209475,19.07340295,0.025484201,111.6491667,0.149175782,245.5507034,0.32808322,n/a,n/a,15.52678082,0.020745517,2.562855695,0.003424262
Humboldt Park,65836,56323,-9513,55011,17991,13599,10691,8278,3546,906,30.21067245,2958,28612,22481,271,689,54647,40497,24206,19993,4213,16291,499,19116,10104,2323,4846,1068,775,32114,22183,4092,6661,4471,2323,1668,906,490,32073.02474,16519,5983,10536,3124,19643,4158,236,6552,5454,3225,5.637489592,908,1561,3348,13826,-9999,3364,7342,6509,1671,757,2471,2685,642,180,166840.052,17232,Health Care,Administration,Retail Trade,Manufacturing,Accommodation and Food Service,2535,2134,1999,1763,1726,9169,Manufacturing,Retail Trade,Health Care,Administration,Wholesale Trade,1715,1178,992,849,791,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,6866,2211,1127,975,798,Outside of Chicago,Humboldt Park,Austin,West Town,Logan Square,3634,405,340,322,317,,,,,,,,,,,,,,,,10502,,,,,,,,,,0.336160789,2306.723522,281.8764624,0.122197767,425.7525553,0.184570258,38.52429918,0.016700874,136.1802948,0.059036245,103.1583743,0.044720736,322.0904123,0.13963113,826.4534883,0.358280254,n/a,n/a,18.49254117,0.0080168,154.1950944,0.066845937
Hyde Park,29920,25681,-4239,26893,5987,9252,4405,3847,2421,981,30.78606557,12584,1891,8047,3244,1127,23940,23506,14281,13153,1123,9225,894,11814,3313,558,3312,4437,194,16960,16398,12386,3544,2562,2498,1035,1387,1442,51231.9538,12468,4489,7979,1909,14377,745,1010,113,1246,11232,4.578604806,211,2214,3582,8370,-9999,6559,3433,2699,1314,372,1177,1498,1025,724,255480.7692,10976,Education,Health Care,Professional,Accommodation and Food Service,Retail Trade,2827,2115,774,766,750,25816,Education,Health Care,Accommodation and Food Service,Retail Trade,Real Estate,12726,9314,1130,772,460,Hyde Park,Outside of Chicago,The Loop,Near North Side,Near West Side,3046,2860,1801,686,604,Outside of Chicago,Hyde Park,Kenwood,Near North Side,Lake View,9943,3046,834,691,636,,,,,,,,,,,,,,,,8085,,,,,,,,,,10.36337156,1032.261867,98.59258681,0.095511217,177.606989,0.172056137,6.437151973,0.006235968,39.94915685,0.038700603,174.9236553,0.169456667,n/a,n/a,251.5009976,0.243640694,n/a,n/a,278.7021513,0.269991715,4.549177794,0.004407
Irving Park,58643,53359,-5284,56520,13440,15078,13404,9685,3593,1320,34.68048272,22650,26359,1271,4614,1626,56101,45072,31818,29649,2156,13254,1502,27719,15813,2557,7539,1492,318,39192,31434,13825,4031,5748,3594,2388,2707,1832,51996.77072,20300,9127,11173,2177,22477,5643,534,5063,4250,6898,5.532126277,1347,1611,4131,15388,-9999,4885,9232,5505,1966,889,1327,3829,2864,1064,276071.7069,22402,Health Care,Retail Trade,Accommodation and Food Service,Education,Professional,2820,2180,2156,2061,2057,9943,Wholesale Trade,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,1592,1581,1083,927,768,Outside of Chicago,The Loop,Near North Side,Near West Side,Irving Park,8520,3964,1830,1172,641,Outside of Chicago,Irving Park,Belmont Cragin,Portage Park,Albany Park,4115,641,416,357,285,,,,,,,,,,,,,,,,15815,,,,,,,,,,1.67419519,2057.194253,512.7908526,0.249267103,403.7483643,0.196261663,47.23189437,0.022959375,104.2002919,0.050651654,71.11763608,0.034570209,68.49553388,0.033295608,743.3061582,0.361320355,n/a,n/a,94.62551213,0.045997364,11.67801,0.005676669
Jefferson Park,25859,25448,-411,27264,5947,5557,5771,5816,3066,1107,39.78971061,17761,6218,250,2444,591,27230,22328,14915,13395,1520,7413,338,12718,8884,1460,2105,220,49,19824,17177,6085,2194,2191,1651,1285,1585,1349,60471.7484,10255,6341,3914,827,11082,5168,108,2463,1691,1652,5.716811315,448,1253,4982,4399,-9999,1581,4118,3734,1193,456,699,3092,2271,249,274960.5989,12261,Health Care,Retail Trade,Education,Manufacturing,Public Administration,1526,1250,1134,1043,966,4735,Manufacturing,Administration,Accommodation and Food Service,Wholesale Trade,Retail Trade,937,641,533,372,363,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5854,2132,607,443,324,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Norwood Park,2394,292,194,138,119,,,,,,,,,,,,,,,,14974,,,,,,,,,,4.897325054,1489.168086,501.384676,0.336687766,176.2492613,0.118354176,10.28476424,0.006906382,57.9102542,0.038887655,26.28780603,0.017652679,50.52450272,0.033928005,525.50311,0.352883677,n/a,n/a,133.5206703,0.089661249,7.503041115,0.005038411
Kenwood,18363,17841,-522,17601,3464,4931,3055,3365,2092,694,36.82960405,2978,667,11916,1520,520,17339,14850,9185,7812,1373,5665,564,7004,3426,261,2643,532,142,12659,11555,6843,3109,1993,1221,723,954,928,39157.6087,8928,2646,6282,1404,10332,720,737,197,688,7985,4.507702841,787,3552,2800,3193,-9999,3976,3494,1818,709,335,676,969,429,482,237676.0563,6751,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1272,1239,554,516,486,1149,Retail Trade,Real Estate,Health Care,Education,Other Service,217,205,202,164,139,Outside of Chicago,The Loop,Hyde Park,Near North Side,Near West Side,1756,1597,834,612,484,Outside of Chicago,Kenwood,South Shore,Hyde Park,Chatham,310,71,65,43,41,,,,,,,,,,,,,,,,9199,,,,,,,,,,7.029745241,666.5200613,133.6843979,0.200570704,128.1257882,0.192230955,0.459894808,0.000689994,26.04208244,0.039071716,54.0918224,0.08115558,0.607836344,0.000911955,179.3330602,0.269058758,n/a,n/a,123.730546,0.185636642,20.444633,0.030673695
Lake View,94817,94368,-449,98212,11355,49478,19564,10429,5234,2152,31.02081955,78186,7125,3428,6748,2725,97769,87818,73436,70696,2691,14382,4956,64766,21345,3000,34419,4981,1021,74665,72892,58630,8154,8783,8787,6438,8994,11247,76854.22491,52403,18990,33413,5009,57412,3464,1558,3489,8706,40066,4.455193869,5380,11881,15540,24611,-9999,26562,18455,8679,2713,1003,1488,5349,6063,5451,364297.4979,53440,Professional,Finance,Health Care,Education,Accommodation and Food Service,10486,6045,5498,4993,4635,20517,Accommodation and Food Service,Retail Trade,Health Care,Other Service,Professional,5361,3154,2865,1567,1347,The Loop,Outside of Chicago,Near North Side,Near West Side,Lake View,16170,13822,7309,3929,2222,Outside of Chicago,Lake View,Uptown,Logan Square,Edgewater,7364,2222,753,650,636,,,,,,,,,,,,,,,,8027,,,,,,,,,,1.813180609,1994.179416,220.7097852,0.110676995,632.3573341,0.317101525,92.32956748,0.046299529,124.1097272,0.062235988,96.36721538,0.048324245,16.47427822,0.008261182,623.4411521,0.312630422,n/a,n/a,178.076094,0.08929793,10.31426203,0.005172184
Lincoln Park,64320,64116,-204,66959,11986,29457,12237,7744,4376,1159,30.08792083,53676,4418,3204,3785,1876,63227,57970,45458,43557,1901,12512,2598,40482,14849,1862,18717,3904,1150,46924,45612,38835,5179,3667,4500,3763,5631,9698,94087.1645,32438,13806,18632,3097,35535,3297,3218,1592,5328,22029,4.484038763,3142,11851,6118,14424,-9999,15475,10503,5963,2358,1236,463,2726,3678,5489,457044.8878,31426,Professional,Finance,Health Care,Education,Accommodation and Food Service,6472,3809,3301,2810,2234,28353,Health Care,Retail Trade,Accommodation and Food Service,Transportation,Other Service,7853,5337,4082,2048,1766,The Loop,Outside of Chicago,Near North Side,Near West Side,Lincoln Park,9890,8782,4060,2382,1557,Outside of Chicago,Lake View,Lincoln Park,Logan Square,West Town,11293,1612,1557,935,933,,,,,,,,,,,,,,,,8725,,,,,,,,,,4.753591793,2024.464343,307.4584037,0.151871484,372.1893661,0.183845849,63.64392149,0.031437413,249.6782506,0.123330525,105.1891788,0.051959018,47.34876725,0.023388294,532.9101396,0.263235132,n/a,n/a,318.2957529,0.157224677,27.7505628,0.013707608
Lincoln Square,44574,39493,-5081,40761,6995,13587,9891,6579,2865,844,34.74067291,26405,7184,1398,4480,1294,40151,34711,26626,24709,1917,8085,1425,22893,11223,1483,8504,1460,223,32056,28766,18676,3573,3887,3293,2231,2579,2690,62933.97626,18253,6976,11277,1348,19601,2773,487,2892,3264,10164,5.066826076,1630,1865,5976,10130,-9999,6914,6897,4184,1036,570,695,1990,2448,1747,357943.208,20199,Health Care,Professional,Education,Accommodation and Food Service,Finance,2707,2609,2212,1973,1649,8956,Health Care,Accommodation and Food Service,Retail Trade,Administration,Education,4372,993,564,475,438,Outside of Chicago,The Loop,Near North Side,Near West Side,Lincoln Square,6533,4493,2124,1176,688,Outside of Chicago,Lincoln Square,Lake View,West Ridge,Albany Park,3251,688,474,298,263,,,,,,,,,,,,,,,,10678,,,,,,,,,,2.028097159,1638.024062,224.261115,0.136909536,346.5923313,0.211591722,34.93351248,0.021326617,54.4379167,0.033233893,382.8808739,0.233745574,41.3656625,0.025253391,456.3523885,0.278599319,n/a,n/a,82.66726829,0.050467676,14.5329937,0.008872271
Logan Square,82715,72791,-9924,73702,15958,27799,16776,8204,4157,808,31.55981641,32145,34595,3438,2008,1516,73249,60313,45081,42336,2739,15233,2434,39400,19787,2324,13565,3250,474,51308,44558,24291,6344,6017,5029,3258,4124,3996,59216.40091,28768,10522,18246,3242,32010,4776,1015,6770,8595,10806,5.432383184,3006,2926,3865,22213,-9999,7417,13406,8358,1943,886,767,3476,3978,2200,340600.0839,34642,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,4126,3759,3553,3252,3063,14370,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,Administration,3085,2005,1528,1425,1404,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,11238,7010,3207,2377,1601,Outside of Chicago,Logan Square,West Town,Belmont Cragin,Avondale,5568,1342,577,495,409,,,,,,,,,,,,,,,,10946,,,,,,,,,,0.562204842,2297.005663,278.0592215,0.121052911,621.2497549,0.270460698,76.52919203,0.033316937,188.1916156,0.081929104,70.77710648,0.03081277,125.2250702,0.054516657,859.4805291,0.374174319,n/a,n/a,41.43562123,0.018038972,36.05755186,0.015697633
Lower West Side,44031,35769,-8262,34410,9429,10583,7081,4431,2215,671,30.69507796,4617,27693,1117,598,385,34285,26709,18478,16380,2098,8231,350,15649,6734,1905,5104,1695,211,21977,14264,5075,4107,3666,2096,1014,731,344,36089.74359,11958,3177,8781,1871,13829,1607,243,3410,4629,3934,4.801345756,802,1043,1608,10376,-9999,2901,6734,3278,624,292,914,1715,467,74,197996.7949,11481,Accommodation and Food Service,Manufacturing,Administration,Health Care,Education,1320,1264,1236,1217,1161,14280,Health Care,Wholesale Trade,Manufacturing,Administration,Education,2887,2403,1930,1415,1032,Outside of Chicago,The Loop,Near West Side,Near North Side,Lower West Side,3743,2023,978,912,703,Outside of Chicago,Lower West Side,South Lawndale,Brighton Park,Bridgeport,6149,703,513,305,271,,,,,,,,,,,,,,,,10396,,,,,,,,,,1.10095524,1872.14701,63.06848394,0.033687784,226.1700363,0.12080784,51.68932535,0.027609651,72.46021693,0.038704341,98.84434968,0.052797323,490.4188245,0.261955296,759.3780829,0.405618832,n/a,n/a,37.8838698,0.020235521,72.23382115,0.038583413
McKinley Park,15962,15612,-350,16336,4724,3970,3227,2864,1145,406,33.12125604,2802,9612,507,3136,279,16292,12290,8224,7088,1136,4066,163,6760,3542,1116,1817,285,0,10372,7113,2023,1435,1580,1044,497,412,198,43827.7512,5166,2883,2283,454,5620,1786,319,1958,971,562,5.644815256,479,336,1007,3798,-9999,453,2154,2344,414,255,676,1720,407,71,195712.2093,5569,Accommodation and Food Service,Manufacturing,Health Care,Retail Trade,Administration,748,624,610,538,508,5018,Administration,Retail Trade,Wholesale Trade,Manufacturing,Transportation,1710,741,722,493,317,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,1694,1086,394,391,225,Outside of Chicago,McKinley Park,Bridgeport,Brighton Park,New City,2535,133,129,125,109,,,,,,,,,,,,,,,,13225,,,,,,,,,,4.508300832,905.2295597,120.0451555,0.132612942,107.6872085,0.118961215,11.82104145,0.013058612,61.32096813,0.067740793,24.73009867,0.027319146,162.7896638,0.179832466,301.5514611,0.333121536,n/a,n/a,73.64760239,0.081357929,41.6363602,0.045995361
